2020-05-24 08:47:12.632 sszserver [main] INFO  com.hello.adminservice.AdminserviceApplication - The following profiles are active: local
2020-05-24 08:56:03.775 sszserver [main] INFO  com.hello.mobileservice.MobileApplication - Started MobileApplication in 45.47 seconds (JVM running for 47.418)
2020-05-24 08:56:05.543 sszserver [http-nio-8089-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-24 08:56:05.543 sszserver [http-nio-8089-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-05-24 08:56:05.551 sszserver [http-nio-8089-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 8 ms
2020-05-24 08:56:05.732 sszserver [boundedElastic-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-05-24 08:56:05.733 sszserver [boundedElastic-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-05-24 09:06:14.064 sszserver [hystrix-brand-server-1] INFO  com.netflix.config.ChainedDynamicProperty - Flipping property: brand-server.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
2020-05-24 09:06:14.117 sszserver [hystrix-brand-server-1] INFO  com.netflix.util.concurrent.ShutdownEnabledTimer - Shutdown hook installed for: NFLoadBalancer-PingTimer-brand-server
2020-05-24 09:06:14.117 sszserver [hystrix-brand-server-1] INFO  com.netflix.loadbalancer.BaseLoadBalancer - Client: brand-server instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=brand-server,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null
2020-05-24 09:06:14.123 sszserver [hystrix-brand-server-1] INFO  c.n.loadbalancer.DynamicServerListLoadBalancer - Using serverListUpdater PollingServerListUpdater
2020-05-24 09:06:14.133 sszserver [hystrix-brand-server-1] INFO  c.n.loadbalancer.DynamicServerListLoadBalancer - DynamicServerListLoadBalancer for client brand-server initialized: DynamicServerListLoadBalancer:{NFLoadBalancer:name=brand-server,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:ConsulServerList{serviceId='brand-server', tag=null}
2020-05-24 10:01:47.029 sszserver [PollingServerListUpdater-0] INFO  com.netflix.config.ChainedDynamicProperty - Flipping property: brand-server.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
2020-05-24 10:05:38.553 sszserver [main] INFO  com.hello.mobileservice.MobileApplication - The following profiles are active: local
2020-05-24 10:05:39.676 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-24 10:05:39.676 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-05-24 10:05:39.706 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18ms. Found 0 JPA repository interfaces.
2020-05-24 10:05:39.722 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-24 10:05:39.724 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-05-24 10:05:39.742 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7ms. Found 0 Redis repository interfaces.
2020-05-24 10:05:39.854 sszserver [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-05-24 10:05:39.881 sszserver [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format.
2020-05-24 10:05:40.039 sszserver [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=431c022e-75d9-33c9-88fe-71299e0ae020
2020-05-24 10:05:40.203 sszserver [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.hello.mobileservice.service.brand.BrandService' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
